;date;distance_km;duree_sec;vitesse_moy_kmh;fc_moyenne;calories;activity;zone;metric;FC_repos;TRIMP
146;2025-09-22;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;48.0;-0.0
147;2025-09-23;0.0;3247.0;0.0;116.7;418.0;Crossfit;Z2;Non_applicable;53.0;39.32
148;2025-09-24;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;57.0;-0.0
149;2025-09-25;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;48.0;-0.0
150;2025-09-26;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;48.0;-0.0
151;2025-09-27;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;50.0;-0.0
152;2025-09-28;1.5;1670.0;3.23;130.48;317.6;Swim;Z2;1.8555555555555554;43.0;33.23
153;2025-09-28;41.62;5302.0;28.26;155.8;1182.0;Ride;Z4;28.26;43.0;189.37
154;2025-09-28;9.51;3037.0;11.28;171.1;789.0;Run;Z5;5:19;43.0;150.43
155;2025-09-29;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;43.0;-0.0
156;2025-09-30;0.0;2856.0;0.0;124.9;443.0;Crossfit;Z2;Non_applicable;52.0;44.37
157;2025-10-01;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;43.0;-0.0
158;2025-10-02;34.1;3600.0;34.1;149.5;895.77;VirtualRide;Z3;177;42.0;112.5
159;2025-10-03;0.0;3602.0;0.0;132.7;607.0;Crossfit;Z2;Non_applicable;50.0;70.55
160;2025-10-04;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;47.0;-0.0
161;2025-10-05;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;42.0;-0.0
162;2025-10-06;1.95;3289.0;2.13;112.4;519.0;Swim;Z1;2.811111111111111;43.0;41.0
163;2025-10-07;0.0;2251.0;0.0;123.8;334.0;Crossfit;Z2;Non_applicable;44.0;37.48
164;2025-10-08;0.0;3600.0;0.0;128.22;586.41;Crossfit;Z2;Non_applicable;46.0;65.62
165;2025-10-09;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;49.0;-0.0
166;2025-10-10;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;40.0;-0.0
167;2025-10-11;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;40.0;-0.0
168;2025-10-12;6.81;1834.0;13.36;170.1;499.0;Run;Z4;4:29;41.0;89.46
